;;;;;;
CATEGORIA;codigo barras;MATERIAL;VALOR MATRIZ tallas y color;DESCRIPCION;Estado 2018-1;inventario
Calcetines;7703260014963;659808;7000799;ABBOTT CR;Continua;1032
Calcetines;7703260014970;659808;7005295;ABBOTT CR;Continua;1347
Calcetines;7703260014994;659808;7008129;ABBOTT CR;Continua;957
Calcetines;7703260014987;659808;7008135;ABBOTT CR;Continua;2364
Calcetines;7703260016158;659867;3009893;ACUARELA X 2 K CR;Agotar;258
Calcetines;7703260016165;659867;3009894;ACUARELA X 2 K CR;Agotar;350
Calcetines;7703260016172;659867;4009893;ACUARELA X 2 K CR;Agotar;350
Calcetines;7703260016189;659867;4009894;ACUARELA X 2 K CR;Agotar;437
Calcetines;7703260016196;659867;5009893;ACUARELA X 2 K CR;Agotar;736
Calcetines;7703260016202;659867;5009894;ACUARELA X 2 K CR;Agotar;731
Calcetines;7703260015137;659813;7000799;ADAMS CR;Continua;810
Calcetines;7703260015144;659813;7005957;ADAMS CR;Continua;2325
Calcetines;7703260015151;659813;7008301;ADAMS CR;Continua;1323
Seamless;7703284548741;712948;81000799;AGLAYA CR;Nuevo;66
Seamless;7703284548758;712948;81000900;AGLAYA CR;Nuevo;68
Seamless;7703284548765;712948;81008425;AGLAYA CR;Nuevo;56
Seamless;7703284548772;712948;83000799;AGLAYA CR;Nuevo;61
Seamless;7703284548789;712948;83000900;AGLAYA CR;Nuevo;60
Seamless;7703284548796;712948;83008425;AGLAYA CR;Nuevo;52
Ropero;7701701383043;650217;68000350;ALEXA PANTY CR;Agotar;63
Ropero;7701584543169;650217;68000475;ALEXA PANTY CR;Agotar;
Ropero;7701584473091;650217;68000589;ALEXA PANTY CR;Agotar;0
Ropero;7703260828720;650217;68000798;ALEXA PANTY CR;Agotar;0
Ropero;7701584226253;650217;68000799;ALEXA PANTY CR;Agotar;0
Ropero;7701584226260;650217;68000900;ALEXA PANTY CR;Agotar;0
Ropero;7701584067344;650217;68003053;ALEXA PANTY CR;Agotar;0
Ropero;7701584226277;650217;68003142;ALEXA PANTY CR;Agotar;0
Ropero;7701584440093;650217;68003913;ALEXA PANTY CR;Agotar;0
Ropero;7701584067351;650217;68004084;ALEXA PANTY CR;Agotar;0
Ropero;7701584226284;650217;68004161;ALEXA PANTY CR;Agotar;0
Ropero;7701584516224;650217;68005202;ALEXA PANTY CR;Agotar;4
Ropero;7703260828744;650217;68005758;ALEXA PANTY CR;Agotar;0
Ropero;7701701383050;650217;68006195;ALEXA PANTY CR;Agotar;0
Ropero;7701584440109;650217;68006474;ALEXA PANTY CR;Agotar;
Ropero;7701701876781;650217;68006984;ALEXA PANTY CR;Agotar;0
Ropero;7701701906907;650217;68007223;ALEXA PANTY CR;Agotar;0
Ropero;7701584543176;650217;68007879;ALEXA PANTY CR;Agotar;
Ropero;7701701383067;650217;68007880;ALEXA PANTY CR;Agotar;0
Ropero;7701701648494;650217;68016815;ALEXA PANTY CR;Agotar;131
Ropero;7701701383098;650217;69000350;ALEXA PANTY CR;Agotar;18
Ropero;7701584543183;650217;69000475;ALEXA PANTY CR;Agotar;
Ropero;7701584473107;650217;69000589;ALEXA PANTY CR;Agotar;0
Ropero;7703260828751;650217;69000798;ALEXA PANTY CR;Agotar;1
Ropero;7701584226291;650217;69000799;ALEXA PANTY CR;Agotar;0
Ropero;7701584226307;650217;69000900;ALEXA PANTY CR;Agotar;0
Ropero;7701584067368;650217;69003053;ALEXA PANTY CR;Agotar;0
Ropero;7701584226314;650217;69003142;ALEXA PANTY CR;Agotar;0
Ropero;7703260828768;650217;69003913;ALEXA PANTY CR;Agotar;
Ropero;7701584067375;650217;69004084;ALEXA PANTY CR;Agotar;0
Ropero;7701584226321;650217;69004161;ALEXA PANTY CR;Agotar;
Ropero;7701584516231;650217;69005202;ALEXA PANTY CR;Agotar;0
Ropero;7703260828775;650217;69005758;ALEXA PANTY CR;Agotar;1
Ropero;7701701383074;650217;69006195;ALEXA PANTY CR;Agotar;1
Ropero;7701584440123;650217;69006474;ALEXA PANTY CR;Agotar;
Ropero;7701701876798;650217;69006984;ALEXA PANTY CR;Agotar;10
Ropero;7701701906914;650217;69007223;ALEXA PANTY CR;Agotar;0
Ropero;7701584543190;650217;69007879;ALEXA PANTY CR;Agotar;
Ropero;7701701383081;650217;69007880;ALEXA PANTY CR;Agotar;0
Ropero;7701701648500;650217;69016815;ALEXA PANTY CR;Agotar;76
Ropero;7701701383104;650217;70000350;ALEXA PANTY CR;Agotar;60
Ropero;7701584543206;650217;70000475;ALEXA PANTY CR;Agotar;
Ropero;7701584473114;650217;70000589;ALEXA PANTY CR;Agotar;0
Ropero;7703260828782;650217;70000798;ALEXA PANTY CR;Agotar;0
Ropero;7701584226338;650217;70000799;ALEXA PANTY CR;Agotar;0
Ropero;7701584226345;650217;70000900;ALEXA PANTY CR;Agotar;0
Ropero;7701584067382;650217;70003053;ALEXA PANTY CR;Agotar;0
Ropero;7701584226352;650217;70003142;ALEXA PANTY CR;Agotar;0
Ropero;7703260828799;650217;70003913;ALEXA PANTY CR;Agotar;
Ropero;7701584067399;650217;70004084;ALEXA PANTY CR;Agotar;0
Ropero;7701584226369;650217;70004161;ALEXA PANTY CR;Agotar;0
Ropero;7701584516248;650217;70005202;ALEXA PANTY CR;Agotar;0
Ropero;7703260828928;650217;70005758;ALEXA PANTY CR;Agotar;0
Ropero;7701701383111;650217;70006195;ALEXA PANTY CR;Agotar;0
Ropero;7701584440147;650217;70006474;ALEXA PANTY CR;Agotar;
Ropero;7701701876804;650217;70006984;ALEXA PANTY CR;Agotar;0
Ropero;7701701906921;650217;70007223;ALEXA PANTY CR;Agotar;0
Ropero;7701584543213;650217;70007879;ALEXA PANTY CR;Agotar;
Ropero;7701701383128;650217;70007880;ALEXA PANTY CR;Agotar;0
Ropero;7701701648517;650217;70016815;ALEXA PANTY CR;Agotar;108
Calcetines;7703260014758;659720;7000799;ALGODON CLASICO CR;Continua;2754
Calcetines;7703260014765;659720;7005957;ALGODON CLASICO CR;Continua;2394
Calcetines;7703260014796;659720;7007045;ALGODON CLASICO CR;Continua;1914
Calcetines;7703260014772;659720;7008077;ALGODON CLASICO CR;Continua;2277
Calcetines;7703260014789;659720;7008301;ALGODON CLASICO CR;Continua;1926
Calcetines;7703284159770;708641;7009895;ALICANTE X3 CR;Continua;0
Calcetines;7703284159787;708641;7009897;ALICANTE X3 CR;Continua;0
Calcetines;7703284159794;708641;7009900;ALICANTE X3 CR;Continua;526
Ropero;7701701382893;650240;68000350;ALINA TOP CR;Continua;0
Ropero;7701584544227;650240;68000475;ALINA TOP CR;Agotar;
Ropero;7701701382909;650240;68000540;ALINA TOP CR;Agotar;0
Ropero;7701584458074;650240;68000589;ALINA TOP CR;Agotar;0
Ropero;7703260828935;650240;68000798;ALINA TOP CR;Agotar;0
Ropero;7701584064961;650240;68000799;ALINA TOP CR;Continua;51
Ropero;7701584230922;650240;68000900;ALINA TOP CR;Continua;0
Ropero;7701584067283;650240;68003053;ALINA TOP CR;Agotar;0
Ropero;7701584230939;650240;68003142;ALINA TOP CR;Agotar;0
Ropero;7701584439943;650240;68003913;ALINA TOP CR;Agotar;0
Ropero;7703260828942;650240;68003973;ALINA TOP CR;Agotar;0
Ropero;7701584067290;650240;68004084;ALINA TOP CR;Agotar;0
Ropero;7701584516194;650240;68005202;ALINA TOP CR;Agotar;85
Ropero;7703260828959;650240;68005758;ALINA TOP CR;Agotar;5
Ropero;7701584439950;650240;68006474;ALINA TOP CR;Agotar;
Ropero;7701584306030;650240;68006968;ALINA TOP CR;Agotar;
Ropero;7701701382916;650240;68007045;ALINA TOP CR;Agotar;1
Ropero;7701701906877;650240;68007223;ALINA TOP CR;Continua;97
Ropero;7701584544234;650240;68007879;ALINA TOP CR;Agotar;
Ropero;7701584230946;650240;68007880;ALINA TOP CR;Agotar;0
Ropero;7701701382923;650240;69000350;ALINA TOP CR;Continua;0
Ropero;7701584544241;650240;69000475;ALINA TOP CR;Agotar;
Ropero;7701701382930;650240;69000540;ALINA TOP CR;Agotar;51
Ropero;7701584458081;650240;69000589;ALINA TOP CR;Agotar;9
Ropero;7703260829208;650240;69000798;ALINA TOP CR;Agotar;0
Ropero;7701584064978;650240;69000799;ALINA TOP CR;Continua;0
Ropero;7701584230960;650240;69000900;ALINA TOP CR;Continua;0
Ropero;7701584067306;650240;69003053;ALINA TOP CR;Agotar;0
Ropero;7701584230977;650240;69003142;ALINA TOP CR;Agotar;
Ropero;7701584439967;650240;69003913;ALINA TOP CR;Agotar;0
Ropero;7703260829222;650240;69003973;ALINA TOP CR;Agotar;0
Ropero;7701584067313;650240;69004084;ALINA TOP CR;Agotar;0
Ropero;7701584516200;650240;69005202;ALINA TOP CR;Agotar;143
Ropero;7703260829239;650240;69005758;ALINA TOP CR;Agotar;0
Ropero;7701584439974;650240;69006474;ALINA TOP CR;Agotar;
Ropero;7701584306047;650240;69006968;ALINA TOP CR;Agotar;
Ropero;7701701382947;650240;69007045;ALINA TOP CR;Agotar;0
Ropero;7701701906884;650240;69007223;ALINA TOP CR;Continua;0
Ropero;7701584544258;650240;69007879;ALINA TOP CR;Agotar;
Ropero;7701584230984;650240;69007880;ALINA TOP CR;Agotar;
Ropero;7701701382954;650240;70000350;ALINA TOP CR;Continua;0
Ropero;7701584544265;650240;70000475;ALINA TOP CR;Agotar;
Ropero;7701701382961;650240;70000540;ALINA TOP CR;Agotar;63
Ropero;7701584458098;650240;70000589;ALINA TOP CR;Agotar;0
Ropero;7703260829246;650240;70000798;ALINA TOP CR;Agotar;0
Ropero;7701584064985;650240;70000799;ALINA TOP CR;Continua;0
Ropero;7701584231707;650240;70000900;ALINA TOP CR;Continua;0
Ropero;7701584067320;650240;70003053;ALINA TOP CR;Agotar;0
Ropero;7701584231714;650240;70003142;ALINA TOP CR;Agotar;
Ropero;7701584439981;650240;70003913;ALINA TOP CR;Agotar;0
Ropero;7703260829253;650240;70003973;ALINA TOP CR;Agotar;0
Ropero;7701584067337;650240;70004084;ALINA TOP CR;Agotar;1
Ropero;7701584516217;650240;70005202;ALINA TOP CR;Agotar;112
Ropero;7703260829260;650240;70005758;ALINA TOP CR;Agotar;0
Ropero;7701584439998;650240;70006474;ALINA TOP CR;Agotar;
Ropero;7701584306054;650240;70006968;ALINA TOP CR;Agotar;
Ropero;7701701382978;650240;70007045;ALINA TOP CR;Agotar;0
Ropero;7701701906891;650240;70007223;ALINA TOP CR;Continua;0
Ropero;7701584544272;650240;70007879;ALINA TOP CR;Agotar;
Ropero;7701584231721;650240;70007880;ALINA TOP CR;Agotar;0
Calcetines;7703260015045;659810;7000799;ALMERIA CR;Continua;1050
Calcetines;7703260015052;659810;7005957;ALMERIA CR;Continua;1530
Calcetines;7701701847361;659810;7007191;ALMERIA CR;Continua;1476
Calcetines;7703260015069;659810;7008129;ALMERIA CR;Agotar;3
Calcetines;7701701509290;659810;7008873;ALMERIA CR;Agotar;345
Ropero;7701701383395;650399;68000350;AMBER CR;Agotar;
Ropero;7701701410794;650399;68000540;AMBER CR;Agotar;1
Ropero;7701584160557;650399;68000564;AMBER CR;Agotar;16
Ropero;7701584677543;650399;68000799;AMBER CR;Continua;29
Ropero;7701584677550;650399;68000900;AMBER CR;Continua;0
Ropero;7701701410800;650399;68002753;AMBER CR;Agotar;0
Ropero;7701584160564;650399;68003053;AMBER CR;Agotar;0
Ropero;7701584677567;650399;68003059;AMBER CR;Agotar;4
Ropero;7701584473121;650399;68003119;AMBER CR;Agotar;0
Ropero;7701584538387;650399;68003419;AMBER CR;Agotar;
Ropero;7701701415645;650399;68003706;AMBER CR;Agotar;42
Ropero;7701584440369;650399;68003882;AMBER CR;Agotar;
Ropero;7701701547575;650399;68004420;AMBER CR;Agotar;107
Ropero;7701701415829;650399;68004486;AMBER CR;Agotar;0
Ropero;7701584677574;650399;68004487;AMBER CR;Agotar;44
Ropero;7701701383401;650399;68005089;AMBER CR;Agotar;
Ropero;7701584473138;650399;68005101;AMBER CR;Agotar;0
Ropero;7701584538042;650399;68005306;AMBER CR;Agotar;
Ropero;7701701415652;650399;68005572;AMBER CR;Agotar;34
Ropero;7701584169826;650399;68005726;AMBER CR;Agotar;0
Ropero;7701701547582;650399;68006277;AMBER CR;Agotar;93
Ropero;7701584440406;650399;68006650;AMBER CR;Agotar;
Ropero;7701701415744;650399;68006968;AMBER CR;Agotar;0
Ropero;7701701950016;650399;68007223;AMBER CR;Continua;88
Ropero;7701701415782;650399;68007828;AMBER CR;Agotar;0
Ropero;7701584516286;650399;68007880;AMBER CR;Agotar;26
Ropero;7701701876873;650399;68016389;AMBER CR;Continua;11
Ropero;7701701383418;650399;69000350;AMBER CR;Agotar;
Ropero;7701701410817;650399;69000540;AMBER CR;Agotar;0
Ropero;7701584160571;650399;69000564;AMBER CR;Agotar;0
Ropero;7701584677581;650399;69000799;AMBER CR;Continua;29
Ropero;7701584677598;650399;69000900;AMBER CR;Continua;32
Ropero;7701701410824;650399;69002753;AMBER CR;Agotar;0
Ropero;7701584160588;650399;69003053;AMBER CR;Agotar;5
Ropero;7701584677604;650399;69003059;AMBER CR;Agotar;
Ropero;7701584473145;650399;69003119;AMBER CR;Agotar;0
Ropero;7701584538394;650399;69003419;AMBER CR;Agotar;
Ropero;7701701415669;650399;69003706;AMBER CR;Agotar;36
Ropero;7701584440413;650399;69003882;AMBER CR;Agotar;
Ropero;7701701547599;650399;69004420;AMBER CR;Agotar;39
Ropero;7701701415836;650399;69004486;AMBER CR;Agotar;
Ropero;7701584677611;650399;69004487;AMBER CR;Agotar;17
Ropero;7701701383425;650399;69005089;AMBER CR;Agotar;
Ropero;7701584473152;650399;69005101;AMBER CR;Agotar;0
Ropero;7701584538059;650399;69005306;AMBER CR;Agotar;
Ropero;7701701415676;650399;69005572;AMBER CR;Agotar;30
Ropero;7701584169833;650399;69005726;AMBER CR;Agotar;0
Ropero;7701701547605;650399;69006277;AMBER CR;Agotar;60
Ropero;7701584440420;650399;69006650;AMBER CR;Agotar;
